page,query,clicks,impressions,ctr,position,startDate,endDate
https://www.defensapenalcordoba.com.ar/,abogado penalista,1,2,0.5,15,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/orientacion-penal/derechos-persona-detenida/,delito,1,1,1,18,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/orientacion-penal/que-significa-estar-imputado/,que significa estar imputado en una causa,1,40,0.025,10.275,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,abogado defensa,0,1,0,35,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,abogado defensa penal,0,2,0,7,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,abogado defensor,0,1,0,10,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,abogado penal,0,1,0,19,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,abogado penal cordoba,0,1,0,29,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,abogado penal urgente,0,2,0,55.5,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,abogado penal urgente cordoba,0,1,0,99,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,abogado penalista cordoba,0,4,0,71.25,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,abogado penalista córdoba,0,3,0,72,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,asesoria penal,0,1,0,8,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,defensa penal,0,3,0,3.6666666666666665,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,defensa penal corporativa,0,2,0,31.5,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,defensas penales,0,6,0,66.5,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,defensoria penal,0,5,0,6,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,defensoria publica penal,0,1,0,7,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,estudio juridico penal cordoba,0,1,0,78,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,instituto defensa publica penal,0,1,0,5,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/,la defensa penal,0,1,0,44,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/abogado-penalista-cordoba/,abogado penal urgente,0,2,0,72,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/abogado-penalista-cordoba/,abogado penalista,0,1,0,28,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/abogado-penalista-cordoba/,abogado penalista cordoba,0,3,0,91.33333333333333,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/abogado-penalista-cordoba/,abogado penalista córdoba,0,2,0,92.5,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/aviso-legal/,abogado defensa,0,1,0,72,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/aviso-legal/,abogado penal cordoba,0,1,0,23,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/aviso-legal/,abogado penalista cordoba,0,4,0,88,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/aviso-legal/,abogado penalista córdoba,0,1,0,90,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/aviso-legal/,estudio juridico penal cordoba,0,1,0,91,2026-08-25,2026-09-21
https://www.defensapenalcordoba.com.ar/contacto/,abogado penalista cordoba,0,2,0,98,2026-08-25,2026-09-21
