page,query,clicks,impressions,ctr,position,startDate,endDate
https://www.sailhalong.com/,halong sails,0,1,0,45,2026-08-25,2026-09-21
https://www.sailhalong.com/about/,sailing center langweer,0,1,0,58,2026-08-25,2026-09-21
https://www.sailhalong.com/best-halong-cruises.html,best cruise halong,0,1,0,61,2026-08-25,2026-09-21
https://www.sailhalong.com/best-halong-cruises.html,best halong bay cruise,0,2,0,45.5,2026-08-25,2026-09-21
https://www.sailhalong.com/best-halong-cruises.html,best halong bay cruises,0,1,0,47,2026-08-25,2026-09-21
https://www.sailhalong.com/best-halong-cruises.html,best halong cruise,0,4,0,40.5,2026-08-25,2026-09-21
https://www.sailhalong.com/best-halong-cruises.html,best halong cruises,0,4,0,33.5,2026-08-25,2026-09-21
https://www.sailhalong.com/best-halong-cruises.html,halong bay cruise routes,0,1,0,36,2026-08-25,2026-09-21
https://www.sailhalong.com/best-halong-cruises.html,halong bay cruises best,0,1,0,50,2026-08-25,2026-09-21
https://www.sailhalong.com/guides/,sailing vietnam,0,5,0,51.2,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,best halong bay day trip from hanoi,0,2,0,38,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,day trip from hanoi to halong bay,0,1,0,40,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,day trip halong bay from hanoi,0,1,0,35,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,day trip hanoi to halong bay,0,1,0,3,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,day trip to halong bay from hanoi,0,4,0,45.5,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,day trips from halong bay,0,1,0,32,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,day trips from hanoi to halong bay,0,1,0,40,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,ha long bay to hanoi,0,1,0,3,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,ha long to hanoi day trip,0,2,0,46.5,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,halong bay day trip from hanoi,0,6,0,16.166666666666664,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,halong bay day trips from hanoi,0,1,0,21,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,halong bay to hanoi,0,5,0,2.2,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,halong day trip from hanoi,0,1,0,24,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,hanoi to ha long bay,0,26,0,2.5,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,hanoi to ha long day trip,0,11,0,34.54545454545455,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,hanoi to halong bay,0,24,0,2.416666666666667,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,hanoi to halong bay cruise,0,3,0,2.666666666666667,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,hanoi to halong bay day trip,0,6,0,16.833333333333336,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,hanoi to halong bay how to get there,0,1,0,2,2026-08-25,2026-09-21
https://www.sailhalong.com/halong-bay-day-trips-from-hanoi/,how far is hanoi from halong bay,0,1,0,2,2026-08-25,2026-09-21
